xikin nan pvtaq ,abacus
No dingr dingpan ,You made a promise 
No ham nyim dwb nyipa ,You made it happen 
No kvtaq kamj paadey ,You may be correct 
No lekin gob wnku ,You may go at once 
No ngog gaari ngam nyin nyiotayin ,You may use my car 
No kvtaq kamj yekubadey ,You might be right 
No Tom nen kaapa kameydey ,You might meet Tom 
No pacca kam padey ,You must be a fool 
No sominl doodey ,You must be joking!
No kvtaq nyij padey ,You must be polite 
No mwwk tvma jaqbka ,You must not smoke 
No dum ham sabdwb nyipa ,You need a haircut 
No doodu dwb nyipa ,You need a holiday 
No nit bopia naadwb nyipa ,You need a new hat 
No wm dvm nyipa ,You need to let go 
No ngam lok kam tama ,You never asked me 
No lekin gob swwteq tayin ,You only live once 
No ngog swwg ngam swwyu gepaku ,You ruined my life 
No kaadwb mwdwq jaqpa ,You seem depressed 
No kaadwb nyinge jaqdo ,You seem very busy 
No nam wdwb nyipaku ,You should go home 
No ngulam gab nyiba dwb nyipa ,You should join us 
No ham cengdwb nyipa ,You should know it 
Ngule Tom nen mwwxadwb nyipa ,You should sue Tom 
No Tom hvb yal dudo ,You sound like Tom 
No jaqtw jaqb kac pa ,You sure are dirty 
No jaqtw jaqb naleq jaqb vcin dvdo ,You sure eat a lot 
No twnqk ngam naanum ,You take the money 
No ngulam ham nyiswr num ,You taught us that 
No ga hengdwr jaq kumab doonum ,You were in a coma 
No vs-axaq jaq ho doonum ,You were in danger 
No ngog ajin num ,You were my friend 
no vc jaqb mwwdwq jaqdo ,You worry too much 
No wnam nge alw yapa ,You'd better leave 
No alwb mwwtayikun ,You'll feel better 
No ham nyinyiq taikun ,You'll get over it 
No sam mwwkur taikun ,You'll regret this 
No hakam jaqbo nyega nge ,You're a brave man 
No alwbo vcin mwwn bo nge ,You're a good cook 
No alwbo nyem nge ,You're a good girl 
No alwbo vm jaqbo nge ,You're a good liar 
No alwbo nywxw nge ,You're a good wife 
No gwwywbo nyi go ,You're a hypocrite 
No cenglaq jaqb bo go ,You're a sharp one 
No cenglaq jaqnbo nyega go ,You're a smart boy 
No sija den ngeku ,You're a woman now 
Nul mwwlw nge bos jaq bo nge ,You're all cowards 
Nul mwwlw nge nyob asaqkam anyob mwwden ,You're all racists 
No loxiam nyinge do ,You're always busy 
No kvtaqb jaqb mwwn bo nge ,You're an optimist 
No ngam hang lengdwb mwwdo ,You're annoying me 
No ngam kaanaml doodo ,You're avoiding me 
Nnyi vnyi nge dumpo alwmapa ,You're both insane 
No hwrwq hvrinb nyigbo nge ,You're charismatic 
No loobal nyibado ,You're cooperating 
No alw jaqb nyil doodo ,You're doing great 
No acam nyi jaqgo ,You're extroverted 
No kaaby jaqdvb nyido ,You're fascinating 
No vj kangam jaqn bo gvnbo nge ,You're fashionable 
No vcib bon nyigab lala bonge ,You're hardworking 
No nyilaq maan bo nge ,You're incompetent 
No hwrcw jaqb pa ,You're interesting 
No acam aby maan go ,You're introverted 
No dvpar akin hvb nyipan ,You're like family 
No lok da vml doodo ,You're lying again 
No ngam vml doodo ,You're lying to me 
No ngog lvpw atwg nyem nge ,You're my princess 
No vj gvma pa ,You're not dressed 
No svka kal dooma ,You're not helping 
No ngog hvb nyima ,You're not like me 
No kaadwl dooma ,You're not looking 
No ngog hvb nyima ,You're not my type 
No xiqlwqnam ho doopan ,You're on the list 
No ateq vp nge ,You're on your own 
No nyinying maanam ngam nyil doodo ,You're persevering 
No mwwc nam go ,You're predictable 
No vcib opo twwxum paku ,You're quite drunk 
No vcib kvtaq do ,You're quite right 
No vcib cenglaq jaqpa ,You're quite smart 
No kwly nyiodwb nyipa ,You're replaceable 
No vcib abil ajar jaqdo ,You're so romantic 
No sija godab jeneq jaqdo ,You're still green 
No sija godab yapa hexeqdo ,You're still young 
No hvb jaq xyaalo bo go ,You're such a liar 
No nyile leteql doodo ,You're taking over 
No mwwlw ngam koi jaqn yaan bo nge ,You're the biggest 
No yuma maan bo nge ,You're the dreamer 
No nyilaq jaqn bo nge ,You're the experts 
No lwcwl doodo ,You're turning red 
No hoq nyitus mwwnam dooma pa ,You're unambitious 
No vciv vp cwkw jaqn bogo ,You're very lonely 
"No ngog legab, hvbpa v?","You're with me, OK?"
No mvya paku ,You've already won 
Nam beo penum ,You've been warned 
Nam vcjaqb og hwrb nyipa ,You've got a fever 
No ngog sabi ngam napa ,You've got my keys 
No ngog vote napaku ,You've got my vote 
No kws dwb nyipa ,You've got to hide 
No ngog al ngam mwwpa ,You've made my day 
Nog gv hwrs mwx-mwaq paku ,Your bath is ready 
Nog ko nge kangam jaqpa ,Your kids are cute 
Nog nabvr nge jeeneq pa ,Your lips are blue 
Noq cwrw nge kacpa ,Your room is dirty 
Noq belin maanam ngam mwwdeq maabey ,Your secret's safe 
"Mwwjwto ngam, mwv hvl beenum ","Trust me, he said "
"Hiyv hvvminden? "" ngo mwwden """,Who cares?  I do  
Doi swkwr bo nge nwknum ,A cold wind blew in 
Iky nge lvpia vpy den ,A dog has four legs 
Paat nge svpur nge ,A lion is an animal 
Anyiogo yubnam nge alw tayin ,A nap would be good 
Mwvn yalyale nge gorub monam ,A noise woke her up 
Nars nge vj pulu bo gvden ,A nurse wears white 
Truk nge iky ngam twnum ,A truck hit the dog 
Dupum nge tadubnum ,A window was broken 
Tomswr nam nge al hvb nyiden ,Advice is like salt 
Ngog legab mwwlw doon bo nge kitab nyeteqku ,All I have is books 
Tom mwwlwg nyinam nge dvnam ngetwq ,All Tom does is eat 
Hoq mwwlw nge suyum occu jaqpa ,All is calm tonight 
Ngog legab mwwlw nge al pa ,All is well with me 
Ngul mwwlw nge hemp pa ,All of us are happy 
Ngul mwwlw nge wdkub nyipa ,All of us should go 
Mwwlw puqs si nyitwr nyinya nge ,All sales are final 
Ngam betam dvb lootub ,Allow me to explain 
Aluminum nge yoqdwr nge ,Aluminum is a metal 
Ngo alw taikun yv?,Am I going to be OK?
Ngo vcib nyebab wnkuyv?,Am I going too fast?
Ngo nog hoge akam yaden ,Am I older than you?
America vcib koi jaqnden ,America is very big 
Ngam sija da bereqto ,Answer me right now 
Ngog toxnam ngam bireqto ,Answer my questions 
Toxnam ngam bereqto ,Answer the question 
Hiyvkam ham nying tayin ,Anybody can do that 
Hiyvkam sam nying tayin ,Anybody can do this 
Hiyv narab koneydenyv?,Anybody want a lift?
Hiyvkam ham kaapa tayin ,Anyone can see that 
Hoq luxidadey nge nying tayin ,Anything's possible 
Mwwlw dok nge doopa ,Are seats available?
Pui dusam nam nge jaqtw ngeyv?,Are the rumors true?
Alo swwn bo ngeyv?,Are there survivors?
Hoq mwwlw v noq geyv?,Are these all yours?
Bulv sija goda doopayv?,Are they still here?
Aloq v nit lukwk ngeyv?,Are those new shoes?
Aloq mwwlw cwkwk v noq geyv?,Are those your bags?
Ngule mvya tab wl dodenyv?,Are we going to win?
Ngule hvb ajin ngetwqsu ,Are we just friends?
Ngule nyebab apaq taikunyv?,Are we leaving soon?
Ngule hog gab mwx-mwaq pakyv?,Are we ready for it?
Ngule so bos dwb nyimayv?,Are we safe in here?
No alw vcin mwwn bo ngeyv?,Are you a good cook?
No police nyi ngeyv?,Are you a policeman?
No loxiam nyinge denyv?,Are you always busy?
No ngam hang lengpanyv?,Are you angry at me?
No jampwl doong payv?,Are you comfortable?
No haatwb haadwdenyv?,Are you coming down?
"Tom, no haal doodenyv?","Are you coming, Tom?"
No ham sominl doodenyv?,Are you enjoying it?
No nyikal doodenyv?,Are you even trying?
No nyinyoq ken bo ngeyv?,Are you experienced?
No Boston loq geyv?,Are you from Boston?
No wta dukunyv?,Are you going to go?
Nul nyi ata nul xabl doodenyv?,Are you guys crying?
Nyi ata nul kaano payv?,Are you guys hungry?
No mwwc nyio nam mwwdenyv?,Are you imaginative?
Nam nyio mwwyio hvn bo doomayv?,Are you independent?
No ngam vml doodenyv?,Are you lying to me?
No Facebook ho doopan yv?,Are you on Facebook?
No bon nyis dook mayv?,Are you out of work?
No vcib vc payv?,Are you really sick?
No sija godab swwl doodenyv?,Are you still alive?
No sija godab hang lengpayv?,Are you still angry?
No sija godab yumadayv?,Are you still awake?
No ho sijadab doopanyv?,Are you still there?
No sija godab mwwdwq panyv?,Are you still upset?
No Tom nen pui mwwl doodenyv?,Are you texting Tom?
No ham kaal doodenyv?,Are you up for that?
No ham kaal doodenyv?,Are you watching it?
No ngam kaal doodenyv?,Are you watching me?
No Canadian ngeyv?,Aren't you Canadian?
No nyub ngeyv?,Aren't you a priest?
Nuvyi abw bor mayv?,Aren't you brothers?
No urab haaramyv?,Aren't you going in?
No so nit maayv?,Aren't you new here?
No poori bo mayv?,Aren't you students?
Tom nen toxto Mary alpayv hvl?,Ask Tom how Mary is 
Tom nen toxto nam svka dwb hvl ,Ask Tom to help you 
Tom nen toxto mwv hoglo hvl ,Ask Tom where he is 
Ngule anyio jaq kuje somin kunum ,At least we had fun 
Pwjab ko nge anyia jaqden ,Baby ducks are cute 
Paat ko nge kangam jaqden ,Baby lions are cute 
Al mab nyinam nge sinyimab siden ,Bad habits die hard 
Hengab jaqta ura bolo ,Be careful in there 
Hengab jaqta ao tolo ,Be careful up there 
"Nyum-nyumbo nyi to, hvbmmabde hvvtin jaqto ","Be gentle, but firm "
Noq an ngam al jaqto ,Be nice to your mom 
Tom legab al jaqto ,Be patient with Tom 
"AL jaqto, hvmmabde hvvtin jaqto ","Be polite, but firm "
Occu kab dooto hoge taato ,Be quiet and listen 
No atam mwwjwto ,Believe in yourself 
Koi bo nyem nge xamaden ,Big girls don't cry 
Kaya nge mwwdwq jaqden ,Black is depressing 
Aloq alu alam humto ,Boil those potatoes 
Boston nge koi jaqb koor xiden ,Boston is overrated 
Tom la ngo nyunge bon nyiden ,Both Tom and I work 
Arkamc dvs ngam jipakun ,Breakfast is served 
Ham ngog dookub bekur hag tukub ,Bring it back to me 
Ngog vj ngam bwato ,Bring me my clothes 
Ngog pvtaq ngam bwato ,Bring me my glasses 
Noq computer ngam bwato ,Bring your computer 
Noq iss jataq ngam bwato ,Bring your swimsuit 
Hvbmabde ngo bos maanum ,But I wasn't afraid 
Nam ngo call mwwkur toyv?,Can I call you back?
Ngo so haatyv?,Can I check in here?
Ngo vj pams nayinge tayinyv?,Can I get a blanket?
Ngo sija yubkub wnkuyv?,Can I go to bed now?
Ngo mood anyio go naying tayinyv?,Can I have a moment?
Ngo hoq lo ak betyv?,Can I say something?
Nam ngo lok da kareq nyiotanyv?,Can I see you again?
Ngo soq bike sam nyin nyiotanyv?,Can I use this bike?
Hiyv jaqkam ngam svka nyiotanyv?,Can anybody help me?
Mwv French agam gonyi denyv?,Can he speak French?
Nyi lo ak ngam svka nyiotanyv?,Can someone help me?
Ngule ham mwwjw nyiotanyv?,Can we believe that?
Ngule bulam mwwjw nyiotanyv?,Can we believe them?
Nam ngule xetaq toyv?,Can we count on you?
Ngule hvb nam wnyi taikunyv?,Can we just go home?
No Tom nen kvvrwq mins tayinyv?,Can you contact Tom?
No vcin mwwlaq denyv?,Can you cook a meal?
No gaari pirlaqdenyv?,Can you drive a car?
No betam nyiotanyv hog gab hvl?,Can you explain why?
No hvbjaq nyin bo mwwlin nyiotanyv?,Can you make copies?
Tom no narab nyiotanyv?,Can you pick up Tom?
No guitar mwwlaqdenyv?,Can you play guitar?
No tennis solaqdenyv?,Can you play tennis?
Nam xumden svka nyiotanyv?,Can you please help?
No Arabi poori relaqdenyv?,Can you read Arabic?
No French Poori relaqdenyv?,Can you read French?
No jaqtw jaqb iss jalaqdenyv?,Can you really swim?
No ham bedar nyiotanyv?,Can you repeat that?
No ngag lamk ngam tinyi tayinyv?,Can you rub my back?
No iss jalaq jaqdeyv?,Can you swim at all?
No ngam betam nyiotanyv hog gab hvl?,Can you tell me how?
No gaari reqnyi mayv?,Can't you buy a car?
Ngog beleq nam ngam nyito!,Carry out my orders!
Ngam naatu kato no nying panyilo ,Catch me if you can 
Kwly nge hvvtw poot nge ,Change is important 
Nog vj ngam kwlyto ,Change your clothes 
Soq mood sam mwwgabto ,Cherish this moment 
Noq vcin ngam alwb nyamto ,Chew your food well 
Xidwb nyin bo nge simaden ,Chivalry isn't dead 
Christmas nge hayiku ,Christmas is coming 
Table ngam mwwkak to ,Clear off the table 
Hwdlokam haakurta ,Come again any time 
Aram haakurta ,Come again tomorrow 
Vnyi mood ngam haata ,Come at two o'clock 
Hapta ura ngam hakurta ,Come back in a week 
Nyikam mins nam nge alwden ,Competition is good 
Aram ngam kvvrwq minsto ,Contact me tomorrow 
Hoq hv tapum nge kampadey ,Could it be a virus?
No vijaqg pagoq nyiotanyv?,Could you elaborate?
No so sign mwwnyi tayinyv?,Could you sign here?
No sam sign mwwnyi tayinyv?,Could you sign this?
Cyprus nge iss biqyum nyyok nge ,Cyprus is an island 
Sinam nge nyiky tayin ,Death is inevitable 
Hoq potoq ham mwwxato ,Delete that picture 
Soq xumkumko nam sam mwwyaqto ,Destroy this temple 
Nam ngo vs-axaq dwb mwwpayv?,Did I embarrass you?
Ngo vyap ngam mwwtum namyv?,Did I lock the door?
Ngo lokta kac tanyiaq dvb mvpayv?,Did I mess up again?
Ngo hoq ak nyixaq payv?,Did I miss anything?
Ngo nyika mins nam ngam nyilin pakunyv?,Did I pass the test?
No axu am ngam naatu kapayv/,Did I touch a nerve?
Tom nam agab wnku hvbpanyv?,Did Tom ask you out?
Tom nam mwwjwdenyv?,Did Tom believe you?
Tom nam kvvrwq minsnamyv?,Did Tom contact you?
Tom hoq ak nyipayv?,Did Tom do anything?
Tom nam apaq jipakuyv?,Did Tom forgive you?
Tom nyis mwwnam dopayv?,Did Tom have a plan?
Tom ai vcin dvn kunyv?,Did Tom have dinner?
Tom nyi ngam uun gvm payv?,Did Tom hurt anyone?
Tom Mary nen vm payv?,Did Tom lie to Mary?
Tom Boston ngam abeypayv?,Did Tom like Boston?
Tom ham repanyv?,Did Tom purchase it?
Tom nam agam goopanyv?,Did Tom talk to you?
Tom nyi ak betam panyv?,Did Tom tell anyone?
Nam nyi kaapa panyv?,Did Tom yell at you?
Nam nyi kaapa numyv?,Did anybody see you?
Tom nen nyi betam panyv?,Did anyone tell Tom?
Bulv sol haanumyv?,Did they come today?
Bulv cengpakunyv?,Did they understand?
No Tom nen toxpanyv hog gab hvl?,Did you ask Tom why?
No Tom nen mwwjw denyv?,Did you believe Tom?
No kokwr ngam bewapanyv?,Did you bring rolls?
No noq gab bewa panyv?,Did you bring yours?
No kaar gaari hoge haapanyv?,Did you come by car?
No naleq jaqb tvpakunyv?,Did you drink a lot?
No kam ham taapa panyv?,Did you hear it too?
No nyi cwgab numyv?,Did you hug anybody?
No sija da haapanyv?,Did you just arrive?
No yeejonam ap numyv?,Did you leave a tip?
No Boston ngam abydenyv?,Did you like Boston?
No coffee mwwn payv?,Did you make coffee?
No tennis sodwnyv?,Did you play tennis?
No ga hwrspanyv?,Did you take a bath?
No Tom nen agam goopanyv?,Did you talk to Tom?
No Tom nen betuml doonumyv?,Did you tell on Tom?
No Tom nen sogoqnumyv?,Did you yell at Tom?
No Tom nen cengmayv?,Didn't you know Tom?
Sam papo hoge mwwpinto ,Divide this in half 
Ngo naleq jaqb beepakuyv?,Do I curse too much?
Ngo bej bepur nam ngam cengpa payv?,Do I detect sarcasm?
Ngo sija wnkub nyipakuyv?,Do I have to go now?
No hog gub mwwleqden hvb nyito ,Do as you think fit 
Ngo hogub beden hvb kelam nyito ,Do exactly as I say 
Ham nyito hwdlo no nying dapa so ,Do it while you can 
Nam tab nge bos deb nyipayv?,Do snakes scare you?
Ngule nyis akin godab doyin doyv?,Do we need a Plan B?
No coffee tvdenyv?,Do you drink coffee?
No mvya nyioman ngam sominl doodenyv?,Do you enjoy losing?
No xumkum ko nam wnumyv?,Do you go to church?
No school wndenyv?,Do you go to school?
No ko doopan yv?,Do you have a child?
No vswq doopanyv?,Do you have a cough?
No og swkwr vc doopanyv?,Do you have a fever?
No yoqcwq doopanyv?,Do you have a knife?
No nyika minsnam doopanyv?,Do you have a match?
No nyige dogpanyv?,Do you have a motto?
No Phone doopanyv?,Do you have a phone?
No xeqtaq nam doopanyv?,Do you have a table?
Noq legab hog CD doopayv?,Do you have any CDs?
No legab hog abaq-aiyaq bo doopayv?,Do you have any gum?
No ngog kitab dog payv?,Do you have my book?
No xeqnu nam kdog denyv?,Do you keep a diary?
No lamta ngam cengdenyv?,Do you know the way?
No English ngam abydenyv?,Do you like English?
No kopaq ngam abydenyv?,Do you like bananas?
No humnam ngam abydenyv?,Do you like bowling?
No vcin mwwnam ngam abydenyv?,Do you like cooking?
No nyos sonam ngam abydenyv?,Do you like dancing?
No so doodwb abypayv?,Do you like it here?
Hvbnyilo kam no so abypadey ,Do you like it then?
No ngam kam abypayv?,"Do you like me, too?"
No ngog dum ngam aby payv?,Do you like my hair?
No retw ngam aby denyv?,Do you like oranges?
No xarnam ngam abydenyv?,Do you like running?
No bemoin benam ngam abydenyv?,Do you like singing?
No iss ao sonam ngam abydenyv?,Do you like surfing?
No vcin mwwnam ngam abydenyv?,Do you like to cook?
No bemim bedub abydenyv?,Do you like to sing?
No xeqdwb abydenyv?,Do you like writing?
No kam mwvn aby denyv?,Do you love him too?
No donu nwpayv?,Do you need a break?
"Tom, no ngam nyin tayinyv?","Do you need me, Tom?"
No To nen aby maadenyv?,Do you not like Tom?
No ham kaacin payv?,Do you recognize it?
No hog gokam kaapa payv?,Do you see anything?
No ngog nyige ngam kaapa payv?,Do you see my point?
No cigars mwwk dvdenyv?,Do you smoke cigars?
No French agam goodenyv?,Do you speak French?
No French pooridenyv?,Do you study French?
No mwwdenyv ngo hvvmin den hvl?,Do you think I care?
No twwney payv?,Do you want a drink?
No bon nyis naadwb nyipayv?,Do you want the job?
No urab haaney doyv?,Do you want to come?
No cengney doyv?,Do you want to know?
No soney doyv?,Do you want to play?
No poori renw denyv?,Do you want to read?
No bemin beney denyv?,Do you want to sing?
No mutum dukub mwwpakuyv?,Do you want to stop?
No agam gooney payv?,Do you want to talk?
No vrse gvdenyv?,Do you wear glasses?
No Tom nen kaar doonam ngam kaapanyv?,Does Tom have a car?
Tom legab sabi doopanyv?,Does Tom have a key?
Tom twngk pwwdenyv?,Does Tom make money?
Tom cenglaq paakunyv?,Does Tom understand?
Tom kaar naadwb mwwpanyv?,Does Tom want a car?
Tom lukuk gvbnumyv?,Does Tom wear boots?
Hoq hv hvb pagoq doopayv?,Does it even matter?
Mwv piano sodenyv?,Does she play piano?
Hoq hv hvb bon nyidenyv?,Does that even work?
Hog hv al mwwdyv?,Does that feel good?
Hog hv nam bosdwb mwwdyv?,Does that scare you?
Nog nywxw nge cengdenyv?,Does your wife know?
Nog nywxw nge bon nyidenyv?,Does your wife work?
Hiyv kam hvvmin maadenyv?,Doesn't anyone care?
Lopan hvb nyimab ,Don't act surprised 
Twngk gab komab ,Don't ask for money 
Vcib lusaq pan hvb nyimab ,Don't be a stranger 
Alw jaqb mab nyimab ,Don't be disgusting 
Paca pan hvb jaqb nyimab!,Don't be ridiculous!
Tom nen hvb gogmab ,Don't call Tom that 
Ngam lok ta gogmab ,Don't call me again 
